Cost(Billion),Time(Years),Env_Impact
6163.526649200068,100.0,4564358.427883562
1888.570495625609,129.0,4911194.268885582
1923.6611888876678,129.0,4883859.979932544
3743.7126584909547,105.0,5174525.42114519
8085.0205691168485,87.0,4998800.485819638
7615.042397275453,88.0,4844557.536023961
5716.318988572509,94.0,5081586.744442265
3903.0940987192052,104.0,5113289.167976172
2082.775188656666,127.0,4752295.704763345
7837.2419257595575,89.0,4758087.41500263
7153.584288646839,93.0,4677472.143585481
2015.5596036531733,126.0,4803381.763902971
5265.14916835087,96.0,5127362.726113458
2891.909799681724,113.0,4988121.656627898
7342.593097464352,92.0,4657838.361923895
6931.177582894943,90.0,4773477.168514318
7423.727981282518,89.0,4968849.474023396
4800.695227039169,98.0,5038800.090344025
3362.879307501341,109.0,5152339.176341136
4882.825425042048,106.0,4650502.033644099
4601.333551191838,101.0,4886277.470449165
6503.595511948691,94.0,4761506.020929326
7053.786081391154,95.0,4593372.842849806
7742.07274963352,89.0,4791072.74065923
5817.04283493396,99.0,4603815.663715513
4408.744393337488,102.0,4814897.058810774
4251.483186281887,107.0,4767681.625468433
2624.1212365235424,117.0,4976114.022063999
3200.88745365936,114.0,4901424.396217351
2680.5698925953975,116.0,5015264.73133807
6937.65191225136,97.0,4577140.781623062
2451.2109101819747,120.0,4943365.782587199
7482.5230916315695,91.0,4715541.728307803
3252.5851578730612,110.0,5028816.186789073
2782.754138448533,118.0,4724261.276161402
6791.261226603791,96.0,4610228.2089311015
4696.563207548896,100.0,4854870.549470015
5375.197236808042,104.0,4638744.997518017
3921.6201727169337,109.0,4827023.009113187
2331.4587495731516,121.0,4907298.6281485185
2110.933819751441,125.0,4839631.404403651
5885.526457214883,94.0,5044744.354870817
1971.6293916755437,128.0,4873621.676193457
3034.6535769486495,111.0,5067528.13132354
3090.1414551698854,113.0,4928267.290886426
4330.017330170114,101.0,5071926.116356562
4095.551444959121,108.0,4868001.149123936
3483.4742029766207,108.0,4939041.976252486
3430.094493308784,115.0,4732182.459788614
4290.550912317101,105.0,4880630.53013529
2974.597451307725,114.0,4928651.988469031
4050.1221871667394,103.0,5079216.840840721
2155.5004435290134,124.0,4826439.20416632
6114.410230419363,98.0,4662322.149545112
2117.72833563395,125.0,4781676.294950195
6187.448570253302,93.0,4857210.235876548
3870.0263873329163,107.0,4902259.036585483
2581.423244567423,119.0,4738306.688861099
6306.591987081869,98.0,4584907.370441248
3145.902550815755,112.0,5018204.076702322
2812.277448534111,115.0,4955108.485655839
6328.248326099359,96.0,4689742.410082986
3572.1826905295616,112.0,4696468.023425268
5420.938565975812,103.0,4617197.521835061
4534.354713386289,100.0,5054757.8325716555
5291.7605143005285,99.0,4811738.971997235
3127.07811278839,110.0,5058597.739146525
6012.14730154969,94.0,4955451.818149808
5513.472273501768,97.0,4736609.784288029
3990.5190961358685,109.0,4701534.574917249
2495.71934814865,120.0,4913601.471203432
3581.788529948411,106.0,5150132.675631093
6618.806351379741,92.0,4807898.851541339
5489.285413777809,95.0,4948143.843600587
5162.260325725179,103.0,4668279.967121739
6033.542374349759,96.0,4849684.469914069
2171.297355439876,123.0,4848089.42736907
6548.869262245994,91.0,4854328.57265056
2276.629505500777,122.0,4908721.597216264
2229.4280021050636,123.0,4775223.5553239435
5023.605030298762,100.0,4811036.906588887
1937.5870094090733,128.0,4902388.680411727
7045.0508092146465,96.0,4570813.946253949
4096.821800732576,106.0,4778559.019272792
3590.58018244935,111.0,4696452.245314708
6670.447433525104,94.0,4619487.139300669
3621.7659420215145,108.0,4918277.504771418
2513.8505186283282,121.0,4738259.1073789885
5383.024926513127,102.0,4668181.566393892
2223.679229160052,124.0,4814789.659543652
2691.7169042337673,116.0,4938887.376358037
5569.505380462674,100.0,4628921.2676086975
4126.994201222949,112.0,4686242.187225706
6068.019754476679,96.0,4711527.105100259
2791.7889757349863,117.0,4807031.9862412475
2571.838347459142,119.0,4811082.09089964
2295.5582338068543,122.0,4848684.971761695
2593.6416284754873,118.0,4884243.426318649
5098.548934459393,97.0,4950116.63072315
5627.3172432088795,102.0,4624210.5337738665
