Cost,Time,Env,Multiplier,Decay_Label
13012.669488200348,127.0,19072252.101024672,0.5,0.5x (Rate=0.05)
12593.612154581735,127.0,20781358.537715923,0.5,0.5x (Rate=0.05)
12381.787279142083,129.0,20642003.380587514,0.5,0.5x (Rate=0.05)
12441.498504332363,130.0,19889012.67759373,0.5,0.5x (Rate=0.05)
12873.53429674666,129.0,18269581.67985733,0.5,0.5x (Rate=0.05)
12907.461210733945,126.0,19895256.512013037,0.5,0.5x (Rate=0.05)
12482.171523469327,128.0,20712931.12603257,0.5,0.5x (Rate=0.05)
12519.785659888015,128.0,20494753.284551136,0.5,0.5x (Rate=0.05)
12564.12720785654,129.0,19670537.590248305,0.5,0.5x (Rate=0.05)
12818.67569856799,126.0,20302068.455620214,0.5,0.5x (Rate=0.05)
12640.541316938255,130.0,18824346.38204358,0.5,0.5x (Rate=0.05)
12890.899900536764,127.0,19502137.27433209,0.5,0.5x (Rate=0.05)
12395.144384675823,129.0,20577184.623151843,0.5,0.5x (Rate=0.05)
12772.092061992822,130.0,18425305.760457426,0.5,0.5x (Rate=0.05)
12716.216453567842,130.0,18550840.68890716,0.5,0.5x (Rate=0.05)
12421.993731806206,129.0,20261152.497687496,0.5,0.5x (Rate=0.05)
12939.239595210916,127.0,19269931.9944759,0.5,0.5x (Rate=0.05)
12738.91918641768,127.0,19993393.62658246,0.5,0.5x (Rate=0.05)
12839.565381656346,129.0,18505601.039636534,0.5,0.5x (Rate=0.05)
12930.39761477026,128.0,18718603.161983717,0.5,0.5x (Rate=0.05)
12682.56765267319,129.0,19244931.634562075,0.5,0.5x (Rate=0.05)
12619.38789435406,128.0,20064533.1192926,0.5,0.5x (Rate=0.05)
12538.237732348409,128.0,20386505.88386889,0.5,0.5x (Rate=0.05)
12963.424766498449,128.0,18657762.01406415,0.5,0.5x (Rate=0.05)
12632.823936447045,129.0,19346689.094992384,0.5,0.5x (Rate=0.05)
12448.936424792342,129.0,20134849.19551316,0.5,0.5x (Rate=0.05)
12820.603029569691,128.0,18938124.623806875,0.5,0.5x (Rate=0.05)
12672.905394537638,128.0,19774539.453303393,0.5,0.5x (Rate=0.05)
12649.787686872134,128.0,19909250.57111221,0.5,0.5x (Rate=0.05)
12744.757263580781,129.0,18909321.97021119,0.5,0.5x (Rate=0.05)
12918.85128181672,128.0,18779021.30188867,0.5,0.5x (Rate=0.05)
12777.996958706663,128.0,19375967.75239625,0.5,0.5x (Rate=0.05)
12991.458942342933,126.0,19798739.33271763,0.5,0.5x (Rate=0.05)
12805.732425047128,126.0,20416762.128099326,0.5,0.5x (Rate=0.05)
12462.780953273576,130.0,19575632.988900244,0.5,0.5x (Rate=0.05)
12618.58501998637,129.0,19452606.457008235,0.5,0.5x (Rate=0.05)
12968.860060507552,128.0,18645353.74438315,0.5,0.5x (Rate=0.05)
12595.092971995566,130.0,19108919.479087103,0.5,0.5x (Rate=0.05)
12549.220441478195,128.0,20303048.02111654,0.5,0.5x (Rate=0.05)
12713.320368718987,129.0,19020540.950830515,0.5,0.5x (Rate=0.05)
12709.242712283592,128.0,19520550.01586288,0.5,0.5x (Rate=0.05)
12556.086200933181,130.0,19212345.056676123,0.5,0.5x (Rate=0.05)
12579.567599634054,129.0,19525192.38005709,0.5,0.5x (Rate=0.05)
12755.573783152218,129.0,18828833.683318824,0.5,0.5x (Rate=0.05)
12838.437443479317,126.0,20217868.172642376,0.5,0.5x (Rate=0.05)
12992.790458682404,126.0,19616752.231263354,0.5,0.5x (Rate=0.05)
13007.142460254578,126.0,19565630.029063787,0.5,0.5x (Rate=0.05)
12434.646401042404,129.0,20196071.47960363,0.5,0.5x (Rate=0.05)
12975.146091991162,127.0,19108223.908786114,0.5,0.5x (Rate=0.05)
12500.44687148016,129.0,19744675.154307503,0.5,0.5x (Rate=0.05)
12568.503515366943,128.0,20167804.848550927,0.5,0.5x (Rate=0.05)
12497.458273307613,130.0,19490944.222559463,0.5,0.5x (Rate=0.05)
12759.10802085433,130.0,18479593.010559667,0.5,0.5x (Rate=0.05)
12540.499172021335,130.0,19431611.422165826,0.5,0.5x (Rate=0.05)
12713.24599654984,129.0,19159192.7224891,0.5,0.5x (Rate=0.05)
12799.954402034517,127.0,19719530.10619083,0.5,0.5x (Rate=0.05)
12793.73233670185,127.0,19739077.059607394,0.5,0.5x (Rate=0.05)
12894.72647399949,128.0,18800142.802687943,0.5,0.5x (Rate=0.05)
12877.228645625471,126.0,19947622.184898093,0.5,0.5x (Rate=0.05)
12769.920342162826,127.0,19872928.99102566,0.5,0.5x (Rate=0.05)
20334.7138686839,88.0,8515451.509707566,0.8,0.8x (Rate=0.08)
13055.851457949802,128.0,7186609.670172429,0.8,0.8x (Rate=0.08)
12426.629388843332,130.0,7509074.2816169495,0.8,0.8x (Rate=0.08)
17008.543925563292,101.0,9032151.22570682,0.8,0.8x (Rate=0.08)
16473.792655886187,103.0,8906342.109351037,0.8,0.8x (Rate=0.08)
17913.328865584295,98.0,8756943.638439598,0.8,0.8x (Rate=0.08)
14526.422935407567,118.0,7420740.474772708,0.8,0.8x (Rate=0.08)
14051.475208164598,120.0,7749851.623346276,0.8,0.8x (Rate=0.08)
16718.777800276654,105.0,8405268.426734425,0.8,0.8x (Rate=0.08)
16897.618430717437,102.0,8656617.175064014,0.8,0.8x (Rate=0.08)
20012.850267335798,89.0,8478761.965732228,0.8,0.8x (Rate=0.08)
15867.128638914148,110.0,8019434.8350840965,0.8,0.8x (Rate=0.08)
14661.043894127632,116.0,7793454.587761735,0.8,0.8x (Rate=0.08)
13140.2653048862,126.0,7273781.401565185,0.8,0.8x (Rate=0.08)
19384.83553059606,91.0,8594456.026112989,0.8,0.8x (Rate=0.08)
13055.64835604201,127.0,7323725.7248373125,0.8,0.8x (Rate=0.08)
18455.991196033327,96.0,8269009.330618189,0.8,0.8x (Rate=0.08)
17565.11574467487,102.0,7894355.753835851,0.8,0.8x (Rate=0.08)
19631.44242864065,94.0,8158665.775701863,0.8,0.8x (Rate=0.08)
18233.148151569592,97.0,8223390.364643519,0.8,0.8x (Rate=0.08)
18627.276667423746,95.0,8416061.384746823,0.8,0.8x (Rate=0.08)
17213.08962574432,100.0,8902449.648436856,0.8,0.8x (Rate=0.08)
20129.009799701045,90.0,8345950.903150974,0.8,0.8x (Rate=0.08)
17468.36703801213,99.0,8879373.32313396,0.8,0.8x (Rate=0.08)
12901.569780330188,129.0,7238242.189408693,0.8,0.8x (Rate=0.08)
18989.157602060925,93.0,8462250.507106435,0.8,0.8x (Rate=0.08)
16154.586563248633,108.0,7965637.608204158,0.8,0.8x (Rate=0.08)
16242.00358733342,107.0,8324905.446877986,0.8,0.8x (Rate=0.08)
17724.41946946533,98.0,8951787.921495155,0.8,0.8x (Rate=0.08)
17032.190504898324,101.0,9027865.699915119,0.8,0.8x (Rate=0.08)
14092.157237764442,122.0,7384519.533316399,0.8,0.8x (Rate=0.08)
13354.430814867052,125.0,7354750.209132216,0.8,0.8x (Rate=0.08)
14974.788095728347,114.0,7811554.946375764,0.8,0.8x (Rate=0.08)
19800.173063116235,92.0,8338281.733284283,0.8,0.8x (Rate=0.08)
13906.407653971233,121.0,7573753.691846877,0.8,0.8x (Rate=0.08)
14281.02186861875,117.0,8212661.379014872,0.8,0.8x (Rate=0.08)
16142.885731995499,106.0,8811124.359778428,0.8,0.8x (Rate=0.08)
18074.069586461555,99.0,8201756.419004924,0.8,0.8x (Rate=0.08)
15966.474324284682,107.0,8614756.85789617,0.8,0.8x (Rate=0.08)
12712.104429779574,128.0,7678102.874533108,0.8,0.8x (Rate=0.08)
19311.72832520335,92.0,8543479.408424601,0.8,0.8x (Rate=0.08)
18136.50674670059,96.0,8846366.587197388,0.8,0.8x (Rate=0.08)
15765.020258892522,109.0,8648714.632233607,0.8,0.8x (Rate=0.08)
14782.853508549291,115.0,8112258.8240360245,0.8,0.8x (Rate=0.08)
15615.089606333755,111.0,7823034.746627374,0.8,0.8x (Rate=0.08)
17772.531856825302,98.0,8782362.815374672,0.8,0.8x (Rate=0.08)
15490.493226928389,111.0,7876345.275470879,0.8,0.8x (Rate=0.08)
14463.298827437908,117.0,8142874.385768566,0.8,0.8x (Rate=0.08)
13519.905718374865,124.0,7473672.2765616225,0.8,0.8x (Rate=0.08)
13650.447627540123,123.0,7537709.395071195,0.8,0.8x (Rate=0.08)
19161.336627344284,94.0,8359246.1131985225,0.8,0.8x (Rate=0.08)
15345.80149276003,114.0,7653182.573097153,0.8,0.8x (Rate=0.08)
13208.965832042351,125.0,7512037.5400292855,0.8,0.8x (Rate=0.08)
15926.795132490928,109.0,8004752.375535337,0.8,0.8x (Rate=0.08)
15145.76137060269,115.0,7506784.931670134,0.8,0.8x (Rate=0.08)
15579.945725067262,113.0,7605073.811708205,0.8,0.8x (Rate=0.08)
15421.218124648485,113.0,7680404.375718027,0.8,0.8x (Rate=0.08)
16452.54912048562,105.0,8571959.788134962,0.8,0.8x (Rate=0.08)
13879.357700940844,123.0,7448212.326751066,0.8,0.8x (Rate=0.08)
18215.68912711304,98.0,8092712.392538366,0.8,0.8x (Rate=0.08)
17365.49483347533,100.0,5353521.381793478,1.0,1.0x (Rate=0.10)
12619.613062264418,128.0,4471203.491269505,1.0,1.0x (Rate=0.10)
14290.534700490944,121.0,4148864.009788671,1.0,1.0x (Rate=0.10)
20848.257018242766,87.0,4949542.235684414,1.0,1.0x (Rate=0.10)
12959.85083035758,129.0,4188933.0163713074,1.0,1.0x (Rate=0.10)
14650.998449180492,117.0,4403884.726988671,1.0,1.0x (Rate=0.10)
13134.378996769403,126.0,4228278.954283913,1.0,1.0x (Rate=0.10)
