Cost,Time,Env,Multiplier,Threshold_Label
12511.703117863732,130.0,168094938.62845695,0.2,0.2x ($A=0.2M$)
20336.307046726808,88.0,176469123.0317225,0.2,0.2x ($A=0.2M$)
16347.457373816314,104.0,189175619.74084577,0.2,0.2x ($A=0.2M$)
12604.768211640569,130.0,167426231.1397974,0.2,0.2x ($A=0.2M$)
20207.510654269332,87.0,180507401.03366023,0.2,0.2x ($A=0.2M$)
13619.424885859433,125.0,162223885.8001744,0.2,0.2x ($A=0.2M$)
14198.792888442205,120.0,170866384.57170328,0.2,0.2x ($A=0.2M$)
13473.827420720201,124.0,163766670.77844718,0.2,0.2x ($A=0.2M$)
12732.345911046948,128.0,169781024.46288556,0.2,0.2x ($A=0.2M$)
16986.671434329215,102.0,187295932.71471763,0.2,0.2x ($A=0.2M$)
14439.19524305957,118.0,172386429.79243883,0.2,0.2x ($A=0.2M$)
18453.01684700178,96.0,178298158.8514709,0.2,0.2x ($A=0.2M$)
18297.76511212888,97.0,173751856.18489593,0.2,0.2x ($A=0.2M$)
12947.170759046681,127.0,164407017.1942102,0.2,0.2x ($A=0.2M$)
15930.40703551706,107.0,189114201.13828823,0.2,0.2x ($A=0.2M$)
18934.84421221204,93.0,180736496.63563475,0.2,0.2x ($A=0.2M$)
16039.222059813997,106.0,184607845.9960386,0.2,0.2x ($A=0.2M$)
12883.446060399086,129.0,166320789.3106863,0.2,0.2x ($A=0.2M$)
19998.646427764474,90.0,174854575.13497534,0.2,0.2x ($A=0.2M$)
16494.23831383859,104.0,186196053.32590297,0.2,0.2x ($A=0.2M$)
16771.95020440216,103.0,185476291.5245826,0.2,0.2x ($A=0.2M$)
13782.079527937743,121.0,171610175.59002492,0.2,0.2x ($A=0.2M$)
17786.699432886016,100.0,176704211.01750404,0.2,0.2x ($A=0.2M$)
13341.107813004053,126.0,162620793.06503263,0.2,0.2x ($A=0.2M$)
19487.24816626355,91.0,179206168.4353175,0.2,0.2x ($A=0.2M$)
18150.631832663334,98.0,175384962.66122118,0.2,0.2x ($A=0.2M$)
19962.45699940533,89.0,175886216.48246711,0.2,0.2x ($A=0.2M$)
15499.557300393946,109.0,181355399.7832861,0.2,0.2x ($A=0.2M$)
15300.48787631435,116.0,165384686.9190774,0.2,0.2x ($A=0.2M$)
16782.954356475555,109.0,164948854.92291465,0.2,0.2x ($A=0.2M$)
19636.441066252723,92.0,174143383.52265325,0.2,0.2x ($A=0.2M$)
